date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:12	54609/54609	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:06%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/2_1e8e88aa-1873-481e-a0ad-097e2b4277fa_1024x1024.jpg?v=1543641253	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/2_1e8e88aa-1873-481e-a0ad-097e2b4277fa_1024x1024b0a3.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:12	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/checkout	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/checkout.66c.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:12	751/751	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2028%20Dec%202020%2012:27:14%20GMT	http://pinterest.com/pin/create/button/?url=https://sabujcha-demo.myshopify.com/products/dummy-product-name-2&media=http://cdn.shopify.com/s/files/1/0053/5665/0560/products/1_2a8c8790-0b7c-47b6-827b-3098bb37f521_1024x1024.jpg?v=1543641252&description=Dummy%20product%20name	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/pinterest.com/pin/create/button/indexe3d6.html	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:12	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a?preview_theme_id=78417002560	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.66da5a5.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:12	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.66e.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:13	45167/45167	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:08%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/3_9c562f89-bb94-4f42-b41d-2c7ec5ede719_1024x1024.jpg?v=1543641254	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/3_9c562f89-bb94-4f42-b41d-2c7ec5ede719_1024x1024f030.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:13	40237/40237	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:09%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/4_881042fe-4886-4afe-90a6-139d8803860a_1024x1024.jpg?v=1543641256	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/4_881042fe-4886-4afe-90a6-139d8803860a_1024x10242730.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:13	79256/79256	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:05%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/1_2a8c8790-0b7c-47b6-827b-3098bb37f521_1024x1024.jpg?v=1543641252	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/1_2a8c8790-0b7c-47b6-827b-3098bb37f521_1024x10249874.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:14	19619/19619	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:15%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/3_c9a7c2da-5688-400f-9cdf-867c2256856e_grande.jpg?v=1543644369	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/3_c9a7c2da-5688-400f-9cdf-867c2256856e_grandeb2a1.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:16	32822/32822	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:16%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/1_425b5b48-f2ca-46f8-80ad-3837122aff2b_grande.jpg?v=1543644369	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/1_425b5b48-f2ca-46f8-80ad-3837122aff2b_grandeb2a1.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
